bull_id,name,power_rating,avg_bull_score,avg_adjusted,attempts,rides,avg_ride_score,buckoff_pct,pre_ride_prob,hand_advantage_pct,hand_advantage_dir,lh_wins,lh_losses,lh_pct,lh_total,rh_wins,rh_losses,rh_pct,rh_total,top_riders_wins,top_riders_losses,top_riders_pct,contractor,active,round_wins,rider_round_wins
1,04 Checkmate (1),47.98,20.176,,18,9,81.44,50.0,,19,LEFT,1,6,14.29,7,1,2,33.33,3,1,3,25.0,Checkmate,True,1,2
1008,7 Crossfire (1008),78.49,20.171,,57,13,78.85,77.19,,41,RIGHT,18,1,94.74,19,13,11,54.17,24,15,5,75.0,Crossfire,True,1,1
1009,77 Bandit (1009),76.3,21.42,,56,20,85.68,64.29,,3,RIGHT,12,8,60.0,20,13,10,56.52,23,13,12,52.0,Bandit,True,3,10
1010,90 Hot Wire (1010),45.22,18.904,,27,15,76.14,44.44,,19,RIGHT,4,4,50.0,8,4,9,30.77,13,1,8,11.11,Hot Wire,True,0,1
1011,923 Montex (1011),39.54,18.589,,14,7,72.86,50.0,,50,LEFT,0,4,0.0,4,3,3,50.0,6,0,6,0.0,Montex,True,0,0
1012,99 Hammertime (1012),76.42,20.972,,82,27,84.8,67.07,,5,RIGHT,11,7,61.11,18,26,20,56.52,46,21,18,53.85,Hammertime,False,2,2
1014,B5 Ruby Red (1014),55.91,18.886,,11,1,72.0,90.91,,,,1,0,100.0,1,2,1,66.67,3,1,1,50.0,Ruby Red,True,0,0
1016,H9 TNT (1016),80.94,20.259,,92,10,82.22,89.13,,2,LEFT,27,5,84.38,32,31,5,86.11,36,17,9,65.38,TNT,True,0,1
1017,J15 Johnny West (1017),51.98,20.125,,22,9,83.61,59.09,,17,LEFT,1,2,33.33,3,6,6,50.0,12,2,7,22.22,Johnny West,True,0,2
1020,R21 Gold Coast (1020),63.29,20.431,,50,17,76.66,66.0,,19,RIGHT,11,5,68.75,16,8,8,50.0,16,6,9,40.0,Gold Coast,True,2,2
10349,+2 Smokin Joe (10349),73.85,21.81,,50,27,88.07,46.0,,14,LEFT,6,10,37.5,16,15,14,51.72,29,22,24,47.83,Smokin Joe,True,2,5
1037,-705 Stevie Weevie (1037),69.26,21.448,,24,5,84.3,79.17,,6,RIGHT,8,3,72.73,11,2,1,66.67,3,5,2,71.43,Stevie Weevie,False,1,1
1038,-73 Spotted Fever (1038),63.6,20.406,,24,7,80.29,70.83,,13,LEFT,3,3,50.0,6,5,3,62.5,8,5,4,55.56,Spotted Fever,True,1,2
1039,-75 Mr USA (1039),80.2,22.357,22.347,49,11,89.05,77.55,,13,LEFT,17,7,70.83,24,15,3,83.33,18,14,8,63.64,Mr USA,True,14,6
1040,-77 Timberwolf (1040),59.35,20.19,,29,8,76.75,72.41,,29,LEFT,3,5,37.5,8,4,2,66.67,6,3,3,50.0,Timberwolf,True,1,1
1041,50 McCarty Rose (1041),65.97,21.01,,25,7,81.86,72.0,,45,LEFT,6,5,54.55,11,8,0,100.0,8,5,3,62.5,McCarty Rose,True,0,1
1052,P57 Wanna Dance (1052),63.84,21.122,,41,17,85.32,58.54,,20,RIGHT,10,8,55.56,18,5,9,35.71,14,6,11,35.29,Wanna Dance,True,1,1
1053,R410 T-Bug (1053),78.1,21.988,,21,2,82.5,90.48,,3,LEFT,6,1,85.71,7,8,1,88.89,9,8,1,88.89,T-Bug,True,2,0
1054,R59 Sakia (1054),40.09,20.212,,13,5,80.9,61.54,,,,2,1,66.67,3,1,3,25.0,4,0,2,0.0,Sakia,True,0,0
1055,R65 Gale Winds (1055),39.23,18.813,,12,2,67.0,83.33,,,,1,2,33.33,3,2,0,100.0,2,0,1,0.0,Gale Winds,True,0,0
1056,R95 Little Bit Buggy (1056),38.58,19.794,,18,7,78.0,61.11,,,,2,2,50.0,4,0,3,0.0,3,0,1,0.0,Little Bit Buggy,True,1,1
1057,RT901 Crooked Sky (1057),54.9,20.039,,19,6,73.83,68.42,,56,RIGHT,4,0,100.0,4,4,5,44.44,9,2,3,40.0,Crooked Sky,True,0,0
1060,RT927 Redeye (1060),47.71,19.8,,15,7,76.0,53.33,,50,RIGHT,2,1,66.67,3,1,5,16.67,6,1,3,25.0,Redeye,True,1,0
1061,RT931 Whompin Willow (1061),79.14,21.488,21.458,64,19,84.34,70.31,,23,RIGHT,18,5,78.26,23,15,12,55.56,27,16,11,59.26,Whompin Willow,True,4,4
1069,V033 Dynomite (1069),39.56,19.1,,10,1,65.0,90.0,,20,LEFT,4,1,80.0,5,2,0,100.0,2,,,,Dynomite,True,0,0
1072,V85 Crush Boss (1072),64.34,20.833,,35,10,81.38,71.43,,13,LEFT,6,4,60.0,10,8,3,72.73,11,5,4,55.56,Crush Boss,True,0,1
1073,V87 Red Rocket (1073),47.61,19.946,,14,7,79.14,50.0,,,,0,3,0.0,3,2,2,50.0,4,1,3,25.0,Red Rocket,True,0,1
1076,V99 Rotten Roger (1076),39.25,19.063,,8,1,82.0,87.5,,,,,,,,1,0,100.0,1,,,,Rotten Roger,True,0,1
10806,A20 Candyman (10806),72.79,21.666,,71,33,87.47,53.52,,12,RIGHT,12,8,60.0,20,21,23,47.73,44,23,31,42.59,Candyman,True,0,4
1081,-17 Delahoya (1081),50.06,18.328,,32,13,73.88,59.38,,13,LEFT,3,5,37.5,8,4,4,50.0,8,2,4,33.33,Delahoya,True,0,3
1082,-2 Red Chili (1082),33.86,16.91,,25,14,70.5,44.0,,33,LEFT,0,4,0.0,4,2,4,33.33,6,0,3,0.0,Red Chili,True,0,2
1083,-5 Smokin Joe (1083),64.93,19.735,,50,16,79.34,68.0,,2,LEFT,8,6,57.14,14,10,7,58.82,17,7,6,53.85,Smokin Joe,True,0,1
1084,010 Waterproof (1084),74.95,20.125,,54,20,77.11,62.96,,34,LEFT,6,11,35.29,17,18,8,69.23,26,17,14,54.84,Waterproof,True,0,0
