rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
A.+Rue,,1,100.0,1,1,62.0,62.0
AJ+Dziekonski,,34,3.13,1,32,62.0,62.0
AJ+Hamre,Left,469,24.88,106,426,77.25,88.5
Aaron+Atkinson,,20,11.11,2,18,79.5,88.0
Aaron+Brewer,Left,158,25.66,39,152,76.26,89.0
Aaron+Dedeaux,,10,44.44,4,9,79.13,83.0
Aaron+Domangue,,1,100.0,1,1,68.0,68.0
Aaron+Fruge,,12,16.67,2,12,61.5,67.0
Aaron+Gibb,Right,107,33.33,31,93,82.19,90.0
Aaron+Kafka,Left,81,36.11,26,72,74.02,84.0
Aaron+Loewen,,13,0.0,0,8,0.0,0.0
Aaron+Lowe,,33,15.63,5,32,72.8,79.0
Aaron+Munoz,,7,0.0,0,3,0.0,0.0
Aaron+Niederegger,,42,23.68,9,38,70.11,77.0
Aaron+Proctor,,28,0.0,0,28,0.0,0.0
Aaron+Roy,Right,1306,40.4,499,1235,84.55,92.0
Aaron+Semas,Left,258,41.18,105,255,85.57,94.5
Aaron+Williams,Right,491,31.87,145,455,79.79,90.5
Abe+Landeros,,35,3.03,1,33,84.0,84.0
Abel+Sanchez,,12,28.57,2,7,72.5,74.0
Abomb+Martinez,,11,0.0,0,11,0.0,0.0
Abraao+Moura+Morais,,2,0.0,0,2,0.0,0.0
Adam+Cook,,23,0.0,0,17,0.0,0.0
Adam+Kendrick,,29,20.0,5,25,80.0,82.0
Adam+Mace,,14,30.77,4,13,82.5,86.0
Adam+Mast,,25,20.83,5,24,82.9,87.0
Adam+Percey,,46,37.5,15,40,74.9,89.5
Adam+Register,,2,0.0,0,2,0.0,0.0
Adam+Townsend,,2,0.0,0,2,0.0,0.0
Adam+Wietzki,,10,0.0,0,10,0.0,0.0
Adam+Wood,,5,0.0,0,3,0.0,0.0
Adilson+Junior,Right,79,18.42,14,76,84.86,88.8
Adrian+Flores,,4,0.0,0,4,0.0,0.0
Adrian+Martines,,1,0.0,0,1,0.0,0.0
Adriano+Moraes,Left,742,54.56,389,713,85.49,95.0
Adriano+Morgan,,16,0.0,0,16,0.0,0.0
Adriano+Salgado,Left,334,41.83,128,306,84.96,93.0
Afonso+Quintino,Left,220,37.81,76,201,82.4,90.05
Agustin+Martinez,,13,0.0,0,12,0.0,0.0
Aidan+Caruso,,31,0.0,0,31,0.0,0.0
Aidan+Ruby,,27,4.0,1,25,67.0,67.0
Alan+de+Souza,Right,448,52.45,214,408,83.74,92.5
