rider_name,rider_career_outs,rider_career_rides,rider_career_qual_pct,rider_career_avg_score,rider_last5_qual,rider_last10_qual,rider_last20_qual,riding_hand
A. Rue,0.0,0.0,0.0,0.0,,,,
AJ Dziekonski,16.0,1.0,6.25,62.0,0.0,0.1,0.0625,
AJ Hamre,27.0,12.0,44.44444444444444,69.41666666666667,0.8,0.5,0.45,Left
AJ Hull,6.0,1.0,16.666666666666664,75.0,0.0,0.16666666666666666,0.16666666666666666,
Aaron Atkinson,18.0,1.0,5.555555555555555,71.0,0.0,0.0,0.05555555555555555,
Aaron Blendell,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Brewer,34.0,7.0,20.588235294117645,74.28571428571429,0.2,0.1,0.1,Left
Aaron Dedeaux,3.0,3.0,100.0,78.0,1.0,1.0,1.0,
Aaron Domangue,0.0,0.0,0.0,0.0,,,,
Aaron Fruge,11.0,2.0,18.181818181818183,61.5,0.0,0.1,0.18181818181818182,
Aaron Gibb,5.0,3.0,60.0,75.66666666666667,0.6,0.6,0.6,Right
Aaron Johnson,3.0,1.0,33.33333333333333,73.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,
Aaron Kafka,16.0,7.0,43.75,72.14285714285714,0.8,0.6,0.4375,Left
Aaron Loewen,0.0,0.0,0.0,0.0,,,,
Aaron Lowe,32.0,5.0,15.625,72.8,0.0,0.1,0.1,
Aaron Means,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Munoz,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Neeley,0.0,0.0,0.0,0.0,,,,
Aaron Niederegger,15.0,5.0,33.33333333333333,69.2,0.4,0.4,0.3333333333333333,
Aaron Proctor,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Roy,49.0,23.0,46.93877551020408,83.73913043478261,0.4,0.4,0.5,Right
Aaron Semas,10.0,4.0,40.0,80.75,0.2,0.4,0.4,Left
Aaron Williams,51.0,18.0,35.294117647058826,81.49444444444445,0.4,0.2,0.2,Right
Abe Landeros,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
Abel Sanchez,9.0,1.0,11.11111111111111,74.0,0.2,0.1111111111111111,0.1111111111111111,
Abomb Martinez,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
Abraao Moura Morais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Bowen,4.0,3.0,75.0,70.66666666666667,0.75,0.75,0.75,
Adam Cook,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Kendrick,28.0,5.0,17.857142857142858,80.0,0.0,0.2,0.25,
Adam Mace,0.0,0.0,0.0,0.0,,,,
Adam Martinez,0.0,0.0,0.0,0.0,,,,
Adam Mast,11.0,4.0,36.36363636363637,82.125,0.4,0.4,0.36363636363636365,
Adam Percey,35.0,11.0,31.428571428571427,77.9090909090909,0.2,0.1,0.1,
Adam Register,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Townsend,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Wietzki,7.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Wood,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adilson Junior,13.0,4.0,30.76923076923077,84.0,0.0,0.3,0.3076923076923077,Right
Adrian Flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adrian Martines,0.0,0.0,0.0,0.0,,,,
Adriano Moraes,26.0,16.0,61.53846153846154,77.375,0.6,0.6,0.65,Left
Adriano Morgan,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
